age,d13Ca_2p5,d13Ca_25,d13Ca_50,d13Ca_75,d13Ca_97p5
32.749863,-5.894580049,-5.577240148,-5.414490081,-5.232785274,-4.874749484
32.849863,-5.865922736,-5.565305982,-5.40268112,-5.212988436,-4.852119845
32.949863,-5.907863743,-5.595269527,-5.4326786,-5.243301844,-4.879011494
33.049863,-5.883016363,-5.56127798,-5.400785042,-5.205884299,-4.838207388
33.149863,-5.821984754,-5.508677557,-5.342659747,-5.153280107,-4.772713734
33.249863,-5.740910927,-5.426760767,-5.272322478,-5.075399086,-4.722066988
33.349863,-5.685269169,-5.377839543,-5.222445556,-5.027103351,-4.662137999
33.449863,-5.669080292,-5.369520225,-5.202239636,-5.015791294,-4.653642228
33.549863,-5.615745862,-5.318928372,-5.155454084,-4.974803606,-4.609589809
33.649863,-5.707695735,-5.392552174,-5.228840452,-5.047129028,-4.688159265
33.749863,-5.857862402,-5.560016115,-5.402016869,-5.214957499,-4.858707408
33.849863,-5.963212786,-5.663607943,-5.496376236,-5.31392017,-4.950677532
33.949863,-6.087823756,-5.777144539,-5.614933793,-5.430168597,-5.070832589
34.049863,-6.193035235,-5.891511514,-5.734595104,-5.548564519,-5.186682609
34.149863,-6.266305705,-5.964974899,-5.803023139,-5.619710299,-5.257613041
34.249863,-6.271755754,-5.957993569,-5.795148647,-5.614171885,-5.253696527
34.349863,-6.148158205,-5.839913496,-5.681969827,-5.49652206,-5.136341942
34.449863,-6.07008509,-5.74621144,-5.588614257,-5.405490825,-5.056250714
